,Country,Year,gdp_per_capita,Electricity_consumption_per_capita,under5mortality,Poverty,BMI_male,BMI_female,population
0,Brazil,1800,1109,,417.44,,,,3639636
1,Brazil,1801,1109,,417.44,,,,
2,Brazil,1802,1109,,417.44,,,,
3,Brazil,1803,1109,,417.44,,,,
4,Brazil,1804,1109,,417.44,,,,
5,Brazil,1805,1110,,417.44,,,,
6,Brazil,1806,1110,,417.44,,,,
7,Brazil,1807,1110,,417.44,,,,
8,Brazil,1808,1110,,417.44,,,,
9,Brazil,1809,1110,,417.44,,,,
10,Brazil,1810,1110,,417.44,,,,4058652
11,Brazil,1811,1111,,417.44,,,,
12,Brazil,1812,1111,,417.44,,,,
13,Brazil,1813,1111,,417.44,,,,
14,Brazil,1814,1111,,417.44,,,,
15,Brazil,1815,1111,,417.44,,,,
16,Brazil,1816,1111,,417.44,,,,
17,Brazil,1817,1112,,417.44,,,,
18,Brazil,1818,1112,,417.44,,,,
19,Brazil,1819,1112,,417.44,,,,
20,Brazil,1820,1112,,417.44,,,,4582325
21,Brazil,1821,1114,,417.44,,,,
22,Brazil,1822,1117,,417.44,,,,
23,Brazil,1823,1119,,417.44,,,,
24,Brazil,1824,1122,,417.44,,,,
25,Brazil,1825,1124,,417.44,,,,
26,Brazil,1826,1126,,417.44,,,,
27,Brazil,1827,1129,,417.44,,,,
28,Brazil,1828,1131,,417.44,,,,
29,Brazil,1829,1134,,417.44,,,,
30,Brazil,1830,1136,,417.44,,,,5301068
31,Brazil,1831,1138,,417.44,,,,
32,Brazil,1832,1141,,417.44,,,,
33,Brazil,1833,1143,,417.44,,,,
34,Brazil,1834,1146,,417.44,,,,
35,Brazil,1835,1148,,417.44,,,,
36,Brazil,1836,1151,,417.44,,,,
37,Brazil,1837,1153,,417.44,,,,
38,Brazil,1838,1155,,417.44,,,,
39,Brazil,1839,1158,,417.44,,,,
40,Brazil,1840,1160,,417.44,,,,6206694
41,Brazil,1841,1163,,417.44,,,,
42,Brazil,1842,1165,,417.44,,,,
43,Brazil,1843,1168,,417.44,,,,
44,Brazil,1844,1170,,417.44,,,,
45,Brazil,1845,1173,,417.44,,,,
46,Brazil,1846,1175,,417.44,,,,
47,Brazil,1847,1178,,417.44,,,,
48,Brazil,1848,1180,,417.44,,,,
49,Brazil,1849,1183,,417.44,,,,
50,Brazil,1850,1185,,417.44,,,,7254194
51,Brazil,1851,1267,,417.44,,,,
52,Brazil,1852,1233,,417.44,,,,
53,Brazil,1853,1157,,417.44,,,,
54,Brazil,1854,1118,,417.44,,,,
55,Brazil,1855,1129,,417.44,,,,
56,Brazil,1856,1170,,417.44,,,,
57,Brazil,1857,1252,,417.44,,,,
58,Brazil,1858,1333,,417.44,,,,
59,Brazil,1859,1323,,417.44,,,,
60,Brazil,1860,1358,,417.44,,,,8466005
61,Brazil,1861,1346,,417.44,,,,
62,Brazil,1862,1282,,417.44,,,,
63,Brazil,1863,1311,,417.44,,,,
64,Brazil,1864,1330,,417.44,,,,
65,Brazil,1865,1429,,417.44,,,,
66,Brazil,1866,1481,,417.44,,,,
67,Brazil,1867,1604,,417.44,,,,
68,Brazil,1868,1604,,417.44,,,,
69,Brazil,1869,1605,,417.44,,,,
70,Brazil,1870,1488,,417.44,,,,9964419
71,Brazil,1871,1488,,417.44,,,,
72,Brazil,1872,1540,,417.44,,,,
73,Brazil,1873,1494,,417.44,,,,
74,Brazil,1874,1518,,417.44,,,,
75,Brazil,1875,1541,,417.44,,,,
76,Brazil,1876,1483,,417.44,,,,
77,Brazil,1877,1442,,417.44,,,,
78,Brazil,1878,1512,,417.44,,,,
79,Brazil,1879,1525,,417.44,,,,
80,Brazil,1880,1455,,417.44,,,,11893392
81,Brazil,1881,1467,,417.44,,,,
82,Brazil,1882,1503,,417.44,,,,
83,Brazil,1883,1462,,417.44,,,,
84,Brazil,1884,1561,,417.44,,,,
85,Brazil,1885,1450,,417.44,,,,
86,Brazil,1886,1497,,417.44,,,,
87,Brazil,1887,1398,,417.44,,,,
88,Brazil,1888,1345,,417.44,,,,
89,Brazil,1889,1364,,417.44,,,,
90,Brazil,1890,1492,,417.44,,,,14410738
91,Brazil,1891,1586,,417.44,,,,
92,Brazil,1892,1375,,417.44,,,,
93,Brazil,1893,1170,,417.44,,,,
94,Brazil,1894,1171,,417.42,,,,
95,Brazil,1895,1388,,417.39,,,,
96,Brazil,1896,1260,,417.33,,,,
97,Brazil,1897,1241,,417.22,,,,
98,Brazil,1898,1271,,417.05,,,,
99,Brazil,1899,1248,,416.83,,,,
100,Brazil,1900,1201,,416.53,,,,18103489
101,Brazil,1901,1354,,416.17,,,,
102,Brazil,1902,1315,,415.75,,,,
103,Brazil,1903,1318,,415.26,,,,
104,Brazil,1904,1301,,414.7,,,,
105,Brazil,1905,1322,,414.08,,,,
106,Brazil,1906,1456,,413.4,,,,
107,Brazil,1907,1445,,412.65,,,,
108,Brazil,1908,1369,,411.83,,,,
109,Brazil,1909,1475,,410.96,,,,
110,Brazil,1910,1487,,410.05,,,,22414074
111,Brazil,1911,1533,,409.1,,,,
112,Brazil,1912,1592,,408.13,,,,
113,Brazil,1913,1598,,407.15,,,,
114,Brazil,1914,1531,,406.17,,,,
115,Brazil,1915,1498,,405.19,,,,
116,Brazil,1916,1471,,403.99,,,,
117,Brazil,1917,1571,,402.79,,,,
118,Brazil,1918,1492,,401.59,,,,
119,Brazil,1919,1569,,400.4,,,,
120,Brazil,1920,1722,,399.2,,,,27660862
121,Brazil,1921,1702,,398.01,,,,
122,Brazil,1922,1785,,396.82,,,,
123,Brazil,1923,1879,,395.62,,,,
124,Brazil,1924,1853,,394.44,,,,
125,Brazil,1925,1797,,393.25,,,,
126,Brazil,1926,1834,,392.06,,,,
127,Brazil,1927,1977,,390.88,,,,
128,Brazil,1928,2143,,389.69,,,,
129,Brazil,1929,2099,,388.5,,,,
130,Brazil,1930,1998,,387.32,,,,33888997
131,Brazil,1931,1870,,380.24,,,,
