,Vancouver,Seattle,San.Francisco
2,mist,clear,raining
3,Cloudy,clear,clear
4,Cloudy,clear,clear
5,Cloudy,clear,clear
6,Cloudy,clear,clear
7,Cloudy,clear,clear
8,Cloudy,clear,clear
9,Cloudy,clear,clear
10,Cloudy,clear,clear
11,Cloudy,clear,clear
12,Cloudy,Cloudy,clear
13,Cloudy,Cloudy,clear
14,Cloudy,Cloudy,clear
15,Cloudy,Cloudy,clear
16,Cloudy,Cloudy,clear
17,Cloudy,Cloudy,clear
18,Cloudy,Cloudy,clear
19,Cloudy,Cloudy,clear
20,Cloudy,Cloudy,clear
21,Cloudy,Cloudy,clear
22,Cloudy,Cloudy,clear
23,Cloudy,Cloudy,clear
24,Cloudy,Cloudy,clear
25,Cloudy,Cloudy,clear
26,Cloudy,Cloudy,clear
27,clear,clear,clear
28,clear,clear,clear
29,clear,clear,smoke
30,clear,clear,smoke
31,clear,clear,Cloudy
32,clear,clear,Cloudy
33,clear,clear,smoke
34,clear,clear,Cloudy
35,clear,clear,clear
36,raining,clear,clear
37,clear,clear,clear
38,clear,clear,clear
39,clear,Cloudy,clear
40,clear,Cloudy,clear
41,clear,Cloudy,clear
42,clear,Cloudy,clear
43,clear,Cloudy,smoke
44,clear,Cloudy,Cloudy
45,clear,Cloudy,Cloudy
46,clear,Cloudy,clear
47,clear,Cloudy,clear
48,clear,Cloudy,Cloudy
49,clear,Cloudy,Cloudy
50,clear,Cloudy,clear
51,clear,clear,mist
52,clear,clear,clear
53,clear,clear,clear
54,clear,clear,mist
55,clear,clear,clear
56,clear,clear,clear
57,clear,clear,clear
58,clear,clear,clear
59,clear,clear,clear
60,clear,clear,clear
61,clear,Cloudy,clear
62,clear,clear,clear
63,clear,clear,mist
64,clear,clear,mist
65,clear,clear,mist
66,clear,clear,clear
67,clear,clear,mist
68,clear,clear,fog
69,clear,clear,fog
70,clear,clear,fog
71,clear,clear,fog
72,clear,clear,fog
73,clear,clear,clear
74,clear,clear,fog
75,clear,clear,mist
76,clear,clear,clear
77,clear,clear,clear
78,clear,clear,clear
79,clear,clear,clear
80,clear,clear,clear
81,clear,clear,clear
82,Cloudy,clear,clear
83,clear,clear,clear
84,clear,clear,clear
85,clear,clear,clear
86,clear,clear,clear
87,clear,clear,Cloudy
88,clear,clear,Cloudy
89,clear,clear,clear
90,clear,clear,clear
91,clear,clear,clear
92,clear,clear,clear
93,clear,clear,Cloudy
94,clear,clear,Cloudy
95,clear,clear,Cloudy
96,clear,clear,clear
97,clear,clear,mist
98,clear,clear,mist
99,clear,clear,Cloudy
100,clear,clear,Cloudy
101,clear,clear,smoke
102,clear,clear,clear
103,clear,clear,Cloudy
104,clear,clear,clear
105,clear,clear,Cloudy
106,clear,clear,Cloudy
107,clear,clear,smoke
108,clear,clear,smoke
109,clear,clear,smoke
110,clear,clear,smoke
111,clear,clear,clear
112,clear,clear,smoke
113,clear,clear,smoke
114,clear,clear,smoke
115,clear,clear,mist
116,clear,clear,mist
117,clear,clear,Cloudy
118,clear,clear,mist
119,clear,clear,mist
120,clear,clear,mist
121,clear,clear,mist
122,clear,clear,mist
123,clear,clear,mist
124,clear,clear,Cloudy
125,clear,clear,Cloudy
126,clear,clear,Cloudy
127,clear,clear,Cloudy
128,clear,clear,Cloudy
129,clear,clear,Cloudy
130,clear,clear,Cloudy
131,clear,clear,Cloudy
132,clear,clear,Cloudy
133,clear,clear,Cloudy
134,clear,clear,Cloudy
135,clear,clear,Cloudy
136,clear,clear,Cloudy
137,clear,clear,Cloudy
138,clear,clear,Cloudy
139,clear,clear,Cloudy
140,clear,clear,Cloudy
141,clear,clear,Cloudy
142,clear,clear,thunderstorm
143,clear,clear,mist
144,clear,clear,Cloudy
145,clear,clear,Cloudy
146,clear,clear,clear
147,clear,clear,Cloudy
148,clear,clear,Cloudy
149,clear,clear,Cloudy
150,clear,clear,Cloudy
151,clear,clear,Cloudy
152,clear,clear,Cloudy
153,clear,clear,Cloudy
154,clear,clear,clear
155,clear,clear,Cloudy
156,clear,clear,Cloudy
157,clear,clear,clear
158,clear,clear,clear
159,clear,clear,clear
160,clear,clear,clear
161,clear,clear,clear
162,clear,clear,clear
163,clear,clear,clear
164,clear,clear,clear
165,clear,clear,clear
166,clear,clear,Cloudy
167,clear,clear,clear
168,clear,clear,clear
169,clear,clear,clear
170,clear,clear,clear
171,clear,clear,Cloudy
172,clear,clear,Cloudy
173,clear,clear,Cloudy
174,clear,clear,Cloudy
175,clear,clear,clear
176,clear,clear,clear
177,clear,clear,clear
178,clear,clear,clear
179,clear,clear,Cloudy
180,clear,clear,Cloudy
181,clear,clear,Cloudy
182,clear,clear,Cloudy
183,clear,clear,Cloudy
184,clear,clear,Cloudy
185,clear,clear,clear
186,clear,clear,clear
187,clear,clear,clear
188,clear,clear,clear
189,clear,clear,Cloudy
190,clear,clear,Cloudy
191,clear,clear,raining
192,clear,clear,Cloudy
193,clear,clear,raining
194,clear,clear,raining
195,fog,clear,mist
196,fog,clear,clear
197,clear,clear,clear
198,clear,clear,Cloudy
199,clear,clear,Cloudy
200,clear,Cloudy,Cloudy
201,clear,clear,thunderstorm
202,clear,clear,Cloudy
203,clear,Cloudy,clear
204,clear,Cloudy,clear
205,clear,clear,clear
206,clear,clear,clear
207,clear,Cloudy,clear
208,clear,clear,Cloudy
209,clear,clear,Cloudy
210,clear,clear,Cloudy
211,clear,clear,fog
212,clear,clear,fog
213,clear,clear,mist
214,clear,Cloudy,clear
215,clear,Cloudy,clear
216,clear,Cloudy,clear
217,clear,mist,fog
218,clear,mist,fog
219,clear,clear,fog
220,Cloudy,clear,clear
221,clear,Cloudy,clear
222,clear,smoke,clear
223,clear,Cloudy,clear
224,clear,clear,clear
225,clear,clear,clear
226,clear,clear,clear
227,clear,clear,clear
228,clear,clear,clear
229,clear,clear,clear
230,clear,clear,clear
231,clear,clear,clear
232,clear,clear,clear
233,clear,clear,clear
234,clear,clear,clear
235,clear,clear,clear
236,clear,clear,raining
237,clear,fog,Cloudy
238,clear,clear,Cloudy
239,clear,mist,Cloudy
240,clear,fog,Cloudy
241,clear,Cloudy,Cloudy
242,clear,mist,Cloudy
243,clear,fog,Cloudy
244,mist,mist,Cloudy
245,clear,clear,Cloudy
246,clear,clear,Cloudy
247,clear,clear,clear
248,clear,clear,clear
249,clear,clear,clear
250,clear,smoke,Cloudy
251,clear,smoke,Cloudy
252,clear,smoke,Cloudy
253,clear,smoke,Cloudy
254,clear,smoke,Cloudy
255,clear,Cloudy,Cloudy
256,clear,Cloudy,Cloudy
257,clear,Cloudy,raining
258,clear,Cloudy,Cloudy
259,clear,mist,raining
260,mist,mist,Cloudy
261,mist,Cloudy,raining
262,mist,Cloudy,raining
263,mist,Cloudy,Cloudy
264,mist,mist,Cloudy
265,mist,mist,Cloudy
266,mist,mist,Cloudy
267,mist,mist,Cloudy
268,mist,mist,Cloudy
269,mist,mist,Cloudy
270,clear,Cloudy,Cloudy
271,clear,clear,mist
272,clear,clear,Cloudy
273,clear,mist,Cloudy
274,clear,mist,mist
275,clear,smoke,Cloudy
276,clear,smoke,mist
277,Cloudy,Cloudy,Cloudy
278,Cloudy,Cloudy,Cloudy
279,Cloudy,Cloudy,Cloudy
280,Cloudy,Cloudy,Cloudy
281,clear,clear,clear
282,clear,mist,Cloudy
283,clear,mist,Cloudy
284,clear,mist,Cloudy
285,clear,mist,raining
286,clear,mist,Cloudy
287,clear,mist,mist
288,raining,mist,mist
289,raining,mist,raining
290,mist,mist,Cloudy
291,raining,raining,raining
292,mist,mist,raining
293,mist,mist,mist
294,raining,Cloudy,Cloudy
295,raining,Cloudy,raining
296,mist,Cloudy,Cloudy
297,clear,Cloudy,Cloudy
298,raining,Cloudy,Cloudy
299,raining,Cloudy,Cloudy
300,raining,Cloudy,Cloudy
301,raining,Cloudy,Cloudy
302,raining,Cloudy,Cloudy
303,mist,Cloudy,Cloudy
304,mist,raining,Cloudy
305,mist,raining,clear
306,clear,raining,Cloudy
307,mist,Cloudy,Cloudy
308,mist,Cloudy,mist
309,mist,Cloudy,clear
310,mist,Cloudy,clear
311,mist,Cloudy,clear
312,clear,Cloudy,clear
313,clear,Cloudy,Cloudy
314,clear,Cloudy,clear
315,clear,raining,clear
316,raining,mist,clear
317,raining,mist,clear
318,raining,mist,clear
319,mist,Cloudy,clear
320,mist,Cloudy,clear
321,mist,Cloudy,Cloudy
322,clear,mist,Cloudy
323,clear,raining,Cloudy
324,clear,Cloudy,Cloudy
325,clear,Cloudy,Cloudy
326,clear,Cloudy,clear
327,clear,Cloudy,clear
328,clear,raining,Cloudy
329,raining,mist,clear
330,raining,Cloudy,clear
331,mist,Cloudy,Cloudy
332,clear,Cloudy,mist
333,Cloudy,Cloudy,mist
334,clear,Cloudy,mist
335,clear,Cloudy,mist
336,clear,Cloudy,mist
337,raining,Cloudy,mist
338,mist,Cloudy,mist
339,clear,Cloudy,mist
340,clear,Cloudy,fog
341,clear,Cloudy,mist
342,clear,Cloudy,mist
343,clear,clear,clear
344,clear,Cloudy,mist
345,raining,Cloudy,Cloudy
346,Cloudy,Cloudy,clear
347,raining,mist,Cloudy
348,raining,raining,Cloudy
349,raining,mist,Cloudy
350,Cloudy,mist,raining
351,clear,Cloudy,Cloudy
352,Cloudy,Cloudy,mist
353,clear,raining,raining
354,clear,mist,mist
355,clear,Cloudy,mist
356,clear,fog,fog
357,fog,mist,mist
358,fog,mist,fog
359,fog,Cloudy,mist
360,fog,Cloudy,mist
361,fog,Cloudy,fog
362,raining,Cloudy,mist
363,mist,Cloudy,mist
364,mist,fog,mist
365,clear,Cloudy,mist
366,mist,Cloudy,mist
367,clear,Cloudy,mist
368,Cloudy,Cloudy,smoke
369,clear,Cloudy,Cloudy
370,raining,Cloudy,clear
371,raining,raining,clear
372,clear,raining,clear
373,raining,mist,clear
374,clear,Cloudy,clear
375,clear,mist,Cloudy
376,raining,mist,mist
377,Cloudy,Cloudy,Cloudy
378,clear,Cloudy,Cloudy
379,clear,Cloudy,Cloudy
380,clear,mist,clear
381,clear,clear,Cloudy
382,clear,raining,Cloudy
383,clear,clear,Cloudy
384,clear,clear,Cloudy
385,clear,clear,mist
386,mist,clear,Cloudy
387,clear,clear,mist
388,clear,clear,fog
389,clear,clear,fog
390,clear,clear,mist
391,clear,clear,clear
392,clear,clear,clear
393,clear,clear,Cloudy
394,clear,clear,mist
395,clear,Cloudy,Cloudy
396,clear,Cloudy,clear
397,Cloudy,clear,smoke
398,clear,clear,smoke
399,clear,Cloudy,mist
400,clear,clear,mist
401,clear,clear,mist
402,clear,clear,clear
403,clear,clear,clear
404,clear,clear,clear
405,clear,clear,clear
406,clear,clear,clear
407,clear,clear,mist
408,clear,Cloudy,mist
409,clear,clear,mist
410,clear,clear,mist
411,clear,Cloudy,mist
412,clear,Cloudy,mist
413,clear,Cloudy,clear
414,clear,Cloudy,mist
415,clear,Cloudy,smoke
416,clear,clear,smoke
417,clear,Cloudy,clear
418,clear,Cloudy,clear
419,clear,clear,clear
420,clear,clear,clear
421,raining,Cloudy,clear
422,clear,Cloudy,clear
423,clear,Cloudy,clear
424,clear,Cloudy,clear
425,clear,Cloudy,clear
426,clear,clear,clear
427,clear,clear,thunderstorm
428,clear,clear,clear
429,clear,clear,clear
430,clear,Cloudy,clear
431,clear,clear,clear
